,mq,No. Clus,Max clus,Min clus
0,1.4949494949494948,4,5,2
1,1.4949494949494948,4,5,2
2,1.4949494949494948,4,5,2
3,1.4949494949494948,4,5,2
4,1.4949494949494948,4,5,2
5,1.4949494949494948,4,5,2
6,1.4949494949494948,4,5,2
7,1.4949494949494948,4,5,2
8,1.4891774891774894,4,4,3
9,1.4891774891774894,4,4,3
10,1.4891774891774894,4,4,3
11,1.3772727272727274,4,6,1
12,1.3772727272727274,4,6,1
13,1.3772727272727274,4,6,1
14,1.2975912975912975,4,5,2
15,1.2527823054138842,4,4,2
16,1.2527823054138842,4,4,2
17,1.2527823054138842,4,4,2
18,1.23982683982684,4,5,1
19,1.231729055258467,4,5,1
20,1.231729055258467,4,5,1
21,1.0545454545454545,4,6,2
22,1.0359990886306676,4,6,1
23,1.0136363636363637,4,6,2
24,0.9898989898989898,4,6,1
25,0.9454545454545454,4,5,1
26,0.9454545454545454,4,5,1
27,0.9454545454545454,4,5,1
