,mq,No. Clus,Max clus,Min clus
0,2.018109668109668,7,4,2
1,2.018109668109668,7,4,2
2,2.018109668109668,7,4,2
3,2.018109668109668,7,4,2
4,1.8225033136797841,7,4,2
5,1.7853535353535355,6,5,2
6,1.7678995840760547,7,4,2
7,1.7667995746943115,7,4,2
8,1.7418881913766824,7,5,2
9,1.7532523376176625,5,7,2
10,1.7104226407295462,7,4,2
11,1.702628451699659,8,3,2
12,1.7104226407295462,7,4,2
13,1.7017371861025112,6,6,2
14,1.6967754467754468,7,4,2
15,1.6603535353535355,6,5,2
16,1.6440136660724898,7,3,2
17,1.6571537290715372,4,12,2
18,1.6420421969957575,7,4,2
19,1.6571537290715372,4,12,2
20,1.6046780017368254,8,3,2
21,1.6046780017368254,8,3,2
22,1.5979868715162833,7,4,2
23,1.6017371861025111,7,6,2
24,1.579112751713371,8,3,2
25,1.5821296488916627,7,4,2
26,1.552717578259374,7,6,2
27,1.5451694362984687,5,10,2
28,1.4938940488476093,8,3,2
29,1.5102339181286548,5,10,2
30,1.5019607843137255,3,8,4
31,1.500212206094559,5,9,2
32,1.474968217645563,6,8,2
33,1.3536096256684493,7,3,2
34,1.3275353873179963,7,4,2
35,1.33015873015873,4,10,2
36,1.2689273287099374,8,3,2
37,1.2323444976076554,4,8,3
38,1.038828179493141,8,3,2
39,1.0926850926850926,4,11,2
