,mq,No. Clus,Max clus,Min clus
0,1.8907739603391778,8,4,2
1,1.8907739603391778,8,4,2
2,1.8907739603391778,8,4,2
3,1.8907739603391778,8,4,2
4,1.8907739603391778,8,4,2
5,1.8907739603391778,8,4,2
6,1.8907739603391778,8,4,2
7,1.8907739603391778,8,4,2
8,1.832165901731119,8,4,2
9,1.7726022769501029,9,4,2
10,1.7434639434639436,8,4,2
11,1.640191209756427,9,3,2
12,1.6252922600748687,9,4,2
13,1.6048599146425233,10,4,2
14,1.5671272366924542,9,3,2
15,1.540191209756427,8,5,2
16,1.537136986435724,8,4,2
17,1.5232480975468352,9,4,2
18,1.5232480975468352,9,4,2
19,1.4572277963582312,10,3,2
20,1.4502810914575621,9,3,2
21,1.4055592153418242,9,3,2
22,1.356862432821512,9,3,1
23,1.329717464500073,9,3,2
24,1.3326764738529446,9,3,1
25,1.3177730572891861,9,3,2
26,1.2909200702678965,10,3,2
27,1.2930438842203549,9,4,2
28,1.271240687417158,10,3,1
29,1.2307694591004548,9,4,2
30,1.2295807031781787,11,3,1
31,1.2252480390629057,10,3,2
32,1.1713036158688332,10,3,2
33,1.1231649040344691,3,10,7
34,1.1028076463560335,9,3,2
35,1.1028076463560335,9,3,2
36,1.0791666666666666,9,4,2
37,1.0392207607680755,7,9,2
38,1.0408284525931584,3,18,2
39,1.0329188107489995,4,14,3
40,0.9937655383438515,4,9,3
41,0.9688470728793308,7,8,2
42,0.9897435897435898,3,19,2
43,0.9739444558311129,6,9,2
44,0.9863845831587768,3,12,4
45,0.9819439904108096,4,16,2
46,0.9723874904652937,3,17,3
47,0.9172705314009661,4,17,2
